date,average_temperature,rainfall,weekend,holiday,price_per_kg,promo,demand,previous_days_demand
2007-08-28 08:23:26.738671,30.58472685635918,2.0223965139193023,0,0,1.6768460620448409,0,1212.327678629786,1212.327678629786
2007-08-29 08:23:26.738670,15.4650686212835,1.3567907142600175,0,0,2.99607409051611,0,973.4779367641737,1212.327678629786
2007-08-30 08:23:26.738669,10.786525222541337,0.4717575526924699,0,0,1.6814864919782586,0,1188.7516009307278,973.4779367641737
2007-08-31 08:23:26.738668,23.64815416797147,0.8066589844257577,0,0,2.4403708024668385,0,987.4130197593452,1188.7516009307278
2007-09-01 08:23:26.738667,13.861390511387913,0.7152936969018269,1,0,0.5328545321153751,0,1398.3189621404058,987.4130197593452
2007-09-02 08:23:26.738666,14.674082315677506,11.492825549433645,1,0,1.1455826792351858,0,1502.9690031892308,1398.3189621404058
2007-09-03 08:23:26.738665,20.55869234062945,6.67017720966398,0,0,0.5055778064064601,0,1103.0031501869441,1502.9690031892308
2007-09-04 08:23:26.738663,25.138812487847655,7.425986829487804,0,0,0.6108771804262229,1,1442.896183525817,1103.0031501869441
2007-09-05 08:23:26.738662,22.30885280018967,0.4280044794857996,0,0,1.4929005432103064,0,1097.9132160274075,1442.896183525817
2007-09-06 08:23:26.738661,26.102976692730103,2.422587963381313,0,1,1.3767090177662489,1,1344.0238747284334,1097.9132160274075
2007-09-07 08:23:26.738660,32.82623697937525,0.7060750725496148,0,0,1.920538302923851,0,1132.6915844458194,1344.0238747284334
2007-09-08 08:23:26.738659,29.277602732211943,1.5356640507301598,1,0,2.7635940152374783,0,1410.5110573725228,1132.6915844458194
2007-09-09 08:23:26.738658,17.209030485013248,10.159537890590745,1,0,1.1189566196353677,1,1601.5065457388196,1410.5110573725228
2007-09-10 08:23:26.738657,20.386033601349524,0.3245927038582786,0,0,2.316968865754979,0,1077.6014553180257,1601.5065457388196
2007-09-11 08:23:26.738655,18.287260881604418,2.484443047108757,0,0,2.686196750506337,1,1240.3971814642669,1077.6014553180257
2007-09-12 08:23:26.738654,19.158167368548924,6.270818431107569,0,0,1.8714893797989156,0,1021.6599105141106,1240.3971814642669
2007-09-13 08:23:26.738651,17.804883447934753,5.203047111357135,0,0,1.8842432768501687,0,1016.9642085569246,1021.6599105141106
2007-09-14 08:23:26.738650,24.511146065573193,0.31633853112683025,0,0,1.1097256143858554,0,1156.2578989910992,1016.9642085569246
